Timestamp,RTT_ms,Bitrate_bps,PacketsSent,BytesSent
Timestamp,RTT_ms,Bitrate_bps,PacketsSent,BytesSent
1753679319664,-1,-1,-1,-1
1753679319664,-1,-1,-1,-1
1753679320665,-1,-1,-1,-1
1753679320665,-1,-1,-1,-1
1753679321665,-1,-1,-1,-1
1753679321665,-1,-1,-1,-1
1753679322666,-1,-1,-1,-1
1753679322666,-1,-1,-1,-1
1753679323666,-1,-1,-1,-1
1753679323666,-1,-1,-1,-1
1753679324667,-1,-1,-1,-1
1753679324667,-1,-1,-1,-1
1753679325668,-1,-1,-1,-1
1753679325668,-1,-1,-1,-1
1753679326668,-1,-1,-1,-1
1753679326668,-1,-1,-1,-1
1753679327669,-1,-1,-1,-1
1753679327669,-1,-1,-1,-1
1753679328670,-1,-1,-1,-1
1753679328670,-1,-1,-1,-1
1753679329671,-1,-1,-1,-1
1753679329671,-1,-1,-1,-1
1753679330672,-1,-1,-1,-1
1753679330673,-1,-1,-1,-1
1753679331673,-1,-1,-1,-1
1753679331673,-1,-1,-1,-1
1753679332674,-1,-1,-1,-1
1753679332674,-1,-1,-1,-1
1753679333675,-1,-1,-1,-1
1753679333675,-1,-1,-1,-1
1753679334676,-1,-1,-1,-1
1753679334676,-1,-1,-1,-1
1753679335681,-1,-1,-1,-1
1753679335682,-1,-1,-1,-1
1753679336682,-1,-1,-1,-1
1753679336683,-1,-1,-1,-1
1753679337684,-1,-1,-1,-1
1753679337684,-1,-1,-1,-1
1753679338685,-1,-1,-1,-1
1753679338685,-1,-1,-1,-1
1753679339687,-1,-1,-1,-1
1753679339689,-1,-1,-1,-1
1753679340688,-1,-1,-1,-1
1753679340690,-1,-1,-1,-1
1753679341691,-1,-1,-1,-1
1753679341694,-1,-1,-1,-1
1753679342693,-1,-1,-1,-1
1753679342696,-1,-1,-1,-1
1753679343694,-1,-1,-1,-1
1753679343696,-1,-1,-1,-1
1753679344695,-1,-1,-1,-1
1753679344697,-1,-1,-1,-1
1753679345696,-1,-1,-1,-1
1753679345699,-1,-1,-1,-1
1753679346701,-1,-1,-1,-1
1753679346702,-1,-1,-1,-1
1753679347702,-1,-1,-1,-1
1753679347703,-1,-1,-1,-1
1753679348703,-1,-1,-1,-1
1753679348706,-1,-1,-1,-1
1753679349704,-1,-1,-1,-1
1753679349707,-1,-1,-1,-1
1753679350706,-1,-1,-1,-1
1753679350708,-1,-1,-1,-1
1753679351709,-1,-1,-1,-1
1753679351710,-1,-1,-1,-1
1753679352710,-1,-1,-1,-1
1753679352711,-1,-1,-1,-1
1753679353711,-1,-1,-1,-1
1753679353712,-1,-1,-1,-1
1753679354713,-1,-1,-1,-1
1753679354714,-1,-1,-1,-1
1753679355714,-1,-1,-1,-1
1753679355715,-1,-1,-1,-1
1753679356715,-1,-1,-1,-1
1753679356717,-1,-1,-1,-1
1753679357716,-1,-1,-1,-1
1753679357719,-1,-1,-1,-1
1753679358718,-1,-1,-1,-1
1753679358721,-1,-1,-1,-1
1753679359721,-1,-1,-1,-1
1753679359722,-1,-1,-1,-1
1753679360723,-1,-1,-1,-1
1753679360726,-1,-1,-1,-1
1753679361725,-1,-1,-1,-1
1753679361727,-1,-1,-1,-1
1753679362725,-1,-1,-1,-1
1753679362727,-1,-1,-1,-1
1753679363727,-1,-1,-1,-1
1753679363729,-1,-1,-1,-1
1753679364730,-1,-1,-1,-1
1753679364732,-1,-1,-1,-1
1753679365731,-1,-1,-1,-1
1753679365733,-1,-1,-1,-1
1753679366732,-1,-1,-1,-1
1753679366734,-1,-1,-1,-1
1753679367733,-1,-1,-1,-1
1753679367735,-1,-1,-1,-1
1753679368735,-1,-1,-1,-1
1753679368736,-1,-1,-1,-1
1753679369736,-1,-1,-1,-1
1753679369738,-1,-1,-1,-1
1753679370737,-1,-1,-1,-1
1753679370739,-1,-1,-1,-1
1753679371738,-1,-1,-1,-1
1753679371740,-1,-1,-1,-1
1753679372739,-1,-1,-1,-1
1753679372741,-1,-1,-1,-1
1753679373740,-1,-1,-1,-1
1753679373741,-1,-1,-1,-1
1753679374741,-1,-1,-1,-1
1753679374742,-1,-1,-1,-1
1753679375742,-1,-1,-1,-1
1753679375743,-1,-1,-1,-1
1753679376742,-1,-1,-1,-1
1753679376744,-1,-1,-1,-1
1753679377744,-1,-1,-1,-1
1753679377746,-1,-1,-1,-1
Timestamp,RTT_ms,Bitrate_bps,PacketsSent,BytesSent
Timestamp,RTT_ms,Bitrate_bps,PacketsSent,BytesSent
23735871,-1,-1,-1,-1
23735871,-1,-1,-1,-1
23736872,-1,-1,-1,-1
23736872,-1,-1,-1,-1
23737873,-1,-1,-1,-1
23737873,-1,-1,-1,-1
23738873,-1,-1,-1,-1
23738874,-1,-1,-1,-1
23739874,-1,-1,-1,-1
23739874,-1,-1,-1,-1
23740875,-1,-1,-1,-1
23740875,-1,-1,-1,-1
23741876,-1,-1,-1,-1
23741876,-1,-1,-1,-1
23742876,-1,-1,-1,-1
23742876,-1,-1,-1,-1
23743877,-1,-1,-1,-1
23743877,-1,-1,-1,-1
23744878,-1,-1,-1,-1
23744878,-1,-1,-1,-1
23745879,-1,-1,-1,-1
23745879,-1,-1,-1,-1
23746880,-1,-1,-1,-1
23746880,-1,-1,-1,-1
23747880,-1,-1,-1,-1
23747881,-1,-1,-1,-1
23748882,-1,-1,-1,-1
23748882,-1,-1,-1,-1
23749882,-1,-1,-1,-1
23749883,-1,-1,-1,-1
23750884,-1,-1,-1,-1
23750883,-1,-1,-1,-1
23751884,-1,-1,-1,-1
23751885,-1,-1,-1,-1
23752885,-1,-1,-1,-1
23752885,-1,-1,-1,-1
23753886,-1,-1,-1,-1
23753887,-1,-1,-1,-1
23754887,-1,-1,-1,-1
23754888,-1,-1,-1,-1
23755888,-1,-1,-1,-1
23755889,-1,-1,-1,-1
23756889,-1,-1,-1,-1
23756889,-1,-1,-1,-1
23757890,-1,-1,-1,-1
23757890,-1,-1,-1,-1
23758891,-1,-1,-1,-1
23758891,-1,-1,-1,-1
23759893,-1,-1,-1,-1
23759894,-1,-1,-1,-1
23760895,-1,-1,-1,-1
23760896,-1,-1,-1,-1
23761896,-1,-1,-1,-1
23761897,-1,-1,-1,-1
23762898,-1,-1,-1,-1
23762899,-1,-1,-1,-1
23763900,-1,-1,-1,-1
23763900,-1,-1,-1,-1
23764900,-1,-1,-1,-1
23764902,-1,-1,-1,-1
23765904,-1,-1,-1,-1
23765905,-1,-1,-1,-1
23766906,-1,-1,-1,-1
23766909,-1,-1,-1,-1
23767907,-1,-1,-1,-1
23767911,-1,-1,-1,-1
23768909,-1,-1,-1,-1
23768913,-1,-1,-1,-1
23769910,-1,-1,-1,-1
23769914,-1,-1,-1,-1
23770914,-1,-1,-1,-1
23770919,-1,-1,-1,-1
23771918,-1,-1,-1,-1
23771926,-1,-1,-1,-1
23772918,-1,-1,-1,-1
23772927,-1,-1,-1,-1
23773919,-1,-1,-1,-1
23773929,-1,-1,-1,-1
23774921,-1,-1,-1,-1
23774930,-1,-1,-1,-1
23775922,-1,-1,-1,-1
23775931,-1,-1,-1,-1
23776924,-1,-1,-1,-1
23776932,-1,-1,-1,-1
23777925,-1,-1,-1,-1
23777934,-1,-1,-1,-1
23778926,-1,-1,-1,-1
23778943,-1,-1,-1,-1
23779927,-1,-1,-1,-1
23779944,-1,-1,-1,-1
