SFN,BSR_index,requested_bytes,allocated_bytes_pusch,allocated_bytes_grant,overlap_bytes,ratio_pusch,ratio_grant,bs_load,smoothed_ratio_pusch,smoothed_ratio_grant,smoothed_bs_load
38287,27,603.0,373.0,0.0,0.0,0.6185737976782753,0.0,0.0,0.37114427860696514,0.0,0.0
38292,22,274.0,920.0,0.0,373.0,3.3576642335766422,0.0,0.0,2.0970750465030887,0.0,0.0
38298,29,228.0,0.0,0.0,598.0,0.0,0.0,0.0,0.530165070833989,0.0,0.0
38306,28,706.0,0.0,105.0,0.0,0.0,0.14872521246458922,0.005128205128205128,0.530165070833989,0.08923512747875353,0.003076923076923077
38319,13,67.0,0.0,0.0,0.0,0.0,0.0,0.004166666666666667,0.0,0.05949008498583569,0.004551282051282052
38327,8,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016666666666666668
38340,13,67.0,0.0,362.0,0.0,0.0,5.402985074626866,0.008333333333333333,0.0,3.2417910447761193,0.005
38360,29,826.0,0.0,898.0,0.0,0.0,1.0871670702179177,0.22916666666666666,0.0,1.0871670702179177,0.22916666666666666
38368,34,1817.0,0.0,1128.0,0.0,0.0,0.6208035222894882,0.325,0.0,0.80734894146086,0.2866666666666667
38376,31,1132.0,0.0,0.0,0.0,0.0,0.0,0.0011904761904761904,0.0,0.3415941185014812,0.11154761904761905
38390,18,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004761904761904762
38398,7,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38406,20,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38411,20,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38419,10,42.0,0.0,87.0,0.0,0.0,2.0714285714285716,0.020833333333333332,0.0,1.2428571428571429,0.012499999999999999
38427,11,49.0,0.0,169.0,0.0,0.0,3.4489795918367347,0.007142857142857143,0.0,2.483673469387755,0.00845238095238095
38441,19,171.0,0.0,104.0,0.0,0.0,0.6081871345029239,0.06666666666666667,0.0,1.7445041174364484,0.04285714285714286
38449,20,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2432748538011696,0.02666666666666667
38461,23,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38466,20,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38472,12,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38483,17,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38491,15,91.0,0.0,3872.0,0.0,0.0,42.54945054945055,0.03858858858858859,0.0,25.529670329670328,0.023153153153153153
38713,13,67.0,0.0,97.0,0.0,0.0,1.4477611940298507,0.04583333333333333,0.0,1.4477611940298507,0.04583333333333333
38721,10,42.0,0.0,174.0,0.0,0.0,4.142857142857143,0.00909090909090909,0.0,3.064818763326226,0.02378787878787879
38743,23,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38751,25,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38759,25,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38764,25,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38769,26,515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38785,32,1326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38786,32,1326.0,0.0,1115.0,0.0,0.0,0.8408748114630468,0.008585858585858586,0.0,0.504524886877828,0.005151515151515151
38918,31,1132.0,0.0,947.0,0.0,0.0,0.8365724381625441,0.18958333333333333,0.0,0.8365724381625441,0.18958333333333333
38926,28,706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33462897526501767,0.07583333333333334
38956,32,1326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38964,35,2127.0,0.0,350.0,0.0,0.0,0.16455101081335213,0.0,0.0,0.09873060648801128,0.0
38969,31,1132.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.032910202162670425,0.048
38974,22,274.0,0.0,391.0,0.0,0.0,1.427007299270073,0.004838709677419355,0.0,0.8781445143371575,0.01356989247311828
39036,38,3413.0,0.0,1056.0,0.0,0.0,0.3094052153530618,0.17291666666666666,0.0,0.3094052153530618,0.17291666666666666
39044,39,3995.0,0.0,322.0,0.0,0.0,0.08060075093867335,0.3466666666666667,0.0,0.17212253670442873,0.2771666666666667
39049,38,3413.0,0.0,0.0,0.0,0.0,0.0,0.060000000000000005,0.0,0.07800119325834703,0.13991666666666666
