SFN,supply_bytes_grant,supply_bytes_pusch,demand_bytes,ratio_grant,ratio_pusch,smoothed_ratio_grant,smoothed_ratio_pusch
117,141.0,,3813.0,27.04255319148936,,20.87350059140698,58.92013468013467
118,105.0,,3813.0,36.31428571428572,,22.192445646352034,58.92013468013467
118,241.0,,3813.0,15.821576763485478,,20.048069939071762,58.92013468013467
119,55.0,,3813.0,69.32727272727273,,21.61502181072952,66.85353535353534
120,277.0,,3813.0,13.765342960288809,,20.447541832307174,66.85353535353534
120,35.0,,3813.0,108.94285714285714,,25.50294157018398,94.88888888888889
120,97.0,,3813.0,39.30927835051546,,27.028199302142742,94.88888888888889
121,85.0,,2735.0,32.1764705882353,,28.146218233853357,94.88888888888889
121,437.0,,2735.0,6.258581235697941,,28.018941110071246,
122,29.0,241.0,2735.0,94.3103448275862,11.348547717842324,32.19395202233663,11.348547717842324
122,325.0,105.0,2735.0,8.415384615384616,26.047619047619047,32.458780659046454,18.698083382730687
122,29.0,105.0,2735.0,94.3103448275862,26.047619047619047,37.052204877169956,21.14792860436014
122,325.0,241.0,2735.0,8.415384615384616,11.348547717842324,37.42885646088036,18.698083382730687
123,217.0,55.0,2735.0,12.603686635944701,49.72727272727273,36.956343697241905,24.903921251639094
123,217.0,125.0,2735.0,12.603686635944701,21.88,36.2095850238578,24.39993437636591
124,193.0,277.0,2735.0,14.17098445595855,9.873646209386282,35.38200707902567,22.32475035251168
124,193.0,35.0,2735.0,14.17098445595855,78.14285714285714,34.39788114258793,29.30201370130486
124,193.0,97.0,2735.0,14.17098445595855,28.195876288659793,33.66994387889937,29.179109544344296
125,261.0,85.0,2735.0,10.478927203065133,32.1764705882353,33.20606640485573,29.478845648733397
125,261.0,437.0,2735.0,10.478927203065133,6.258581235697941,32.15439293029824,27.367912520275627
126,209.0,325.0,2735.0,13.086124401913876,8.415384615384616,31.45657149081947,25.788535194868047
126,209.0,28.0,2735.0,13.086124401913876,97.67857142857143,30.295163425200876,31.318537982075995
127,113.0,217.0,2735.0,24.20353982300885,12.603686635944701,30.714261578177048,29.98176288592376
128,161.0,193.0,2735.0,16.987577639751553,14.17098445595855,28.097276823800986,28.927710990592747
129,,261.0,2735.0,,10.478927203065133,28.85158913240689,27.774662003872272
130,105.0,209.0,2735.0,26.047619047619047,13.086124401913876,24.488681864236465,26.910630380227662
130,11.0,209.0,2735.0,248.63636363636363,13.086124401913876,35.50589687928111,26.14260227032134
131,,113.0,2735.0,,24.20353982300885,35.69086500656144,26.040546352041734
132,69.0,161.0,2735.0,39.63768115942029,16.987577639751553,37.54525944676823,25.587897916427224
133,51.0,,2735.0,53.627450980392155,,35.285098677479674,26.33733740056327
133,93.0,,2735.0,29.408602150537636,,36.451388540543725,26.353432864615726
134,40.0,105.0,2735.0,68.375,26.047619047619047,35.01053605012227,26.35343286461573
135,125.0,,2735.0,21.88,,35.75857023815646,27.236073167367106
136,26.0,,2735.0,105.1923076923077,,40.90238251906552,25.830373194873005
137,35.0,93.0,2735.0,78.14285714285714,29.408602150537636,44.543447547227316,26.300910829281605
138,35.0,,2735.0,78.14285714285714,,48.097440474277235,27.396061803941294
139,,125.0,2735.0,,21.88,50.09311435770775,23.645204661084154
140,201.0,,2735.0,13.606965174129353,,50.05993675289427,23.32015668768589
