TTI	LCG_0	LCG_1	LCG_2	LCG_3	Num_RBs	TBS_Index	MCS_Index	Redund_Ver	PUSCH_TB_Size
1581	-	-	-	-	-	-	-	0	249
1582	-	-	-	-	4	20	14	-	-
1583	-	-	-	-	-	-	-	1	225
1586	-	-	-	-	-	-	-	0	233
1587	-	-	-	-	5	17	11	-	-
1589	-	-	-	-	6	14	9	0	249
1591	-	-	-	-	-	-	-	0	225
1592	-	-	-	-	6	16	10	-	-
1593	-	-	-	-	-	-	-	1	217
1596	-	-	-	-	-	-	-	0	241
1597	-	-	-	-	5	18	12	-	-
1599	-	-	-	-	6	17	11	-	-
1601	-	-	-	-	-	-	-	0	249
1602	-	-	-	-	4	20	14	-	-
1603	-	-	-	-	-	-	-	1	269
1606	-	-	-	-	-	-	-	0	233
1607	-	-	-	-	4	21	15	-	-
1609	-	-	-	-	5	17	11	-	-
1611	-	-	-	-	-	-	-	0	249
1612	-	-	-	-	4	20	14	-	-
1613	-	-	-	-	-	-	-	1	225
1616	-	-	-	-	-	-	-	0	233
1617	-	-	-	-	4	20	14	-	-
1619	-	-	-	-	5	17	11	-	-
1621	-	-	-	-	-	-	-	0	233
1622	-	-	-	-	4	19	13	-	-
1623	-	-	-	-	-	-	-	1	225
1626	-	-	-	-	-	-	-	0	217
1627	-	-	-	-	4	19	13	-	-
1629	-	-	-	-	6	17	11	-	-
1631	-	-	-	-	-	-	-	0	217
1633	-	-	-	-	-	-	-	1	269
1634	-	-	-	-	-	-	-	0	217
1636	-	-	-	-	-	-	-	0	225
1563	0	0	0	0	-	-	-	-	-
1566	0	0	0	0	-	-	-	-	-
1571	0	0	0	0	-	-	-	-	-
1573	0	0	0	0	-	-	-	-	-
1576	0	0	0	0	-	-	-	-	-
1581	0	0	0	0	-	-	-	-	-
1583	0	0	0	0	-	-	-	-	-
1586	0	0	0	0	-	-	-	-	-
1591	0	0	0	0	-	-	-	-	-
1593	0	0	0	0	-	-	-	-	-
1596	0	0	0	0	-	-	-	-	-
1601	0	0	0	0	-	-	-	-	-
1603	0	0	0	0	-	-	-	-	-
1606	0	0	0	0	-	-	-	-	-
1611	0	0	0	0	-	-	-	-	-
1613	0	0	0	0	-	-	-	-	-
1616	0	0	0	0	-	-	-	-	-
1621	0	0	0	0	-	-	-	-	-
