SysFN	SubFN	Num_RBs	TBS_Index	MCS_Index	Redund_Ver
8302	4	19	13	0
8307	5	17	11	0
8312	5	19	13	0
8328	5	17	11	0
8332	6	17	11	0
8337	5	18	12	0
8345	5	18	30	2
8434	6	14	9	0
8442	18	16	10	0
8450	18	16	30	2
8459	5	18	12	0
8462	5	18	12	0
8467	5	18	30	2
8476	6	16	10	0
8477	6	16	10	0
8482	6	16	10	0
8541	12	8	4	0
8605	3	19	13	0
8608	3	13	8	0
8618	4	20	14	0
8622	4	20	14	0
8627	4	20	14	0
8632	8	14	9	0
8637	5	18	12	0
8652	9	11	6	0
8657	9	11	6	0
8662	4	19	13	0
8670	4	19	30	2
8672	9	11	6	0
8678	8	12	7	0
8682	5	18	12	0
8754	12	10	5	0
8762	27	10	5	0
8767	8	12	7	0
8772	6	14	9	0
8787	5	13	8	0
8792	8	14	9	0
8795	12	14	9	0
8797	8	13	8	0
8802	8	12	7	0
8807	8	12	7	0
8812	8	13	8	0
8817	6	16	10	0
8822	8	13	8	0
8827	8	13	8	0
8832	6	14	9	0
8837	8	13	8	0
8842	8	13	8	0
8892	5	18	12	0
8897	4	20	14	0
8900	5	18	30	2
8902	5	18	12	0
8905	4	20	30	2
8909	6	16	10	0
8912	6	14	9	0
8916	6	16	10	0
8917	5	18	12	0
8922	4	19	13	0
8924	6	16	30	2
8925	5	18	30	2
8930	4	19	30	2
8933	8	12	7	0
8952	9	11	6	0
8957	9	11	6	0
8960	9	11	6	0
9224	4	0	29	0
9225	12	8	4	0
9233	4	6	3	0
9234	15	8	4	0
9254	10	10	5	0
9262	54	8	4	0
9278	9	11	6	0
9282	8	12	7	0
9287	8	13	8	0
9454	12	8	4	0
9462	54	6	3	0
9471	9	11	6	0
9473	9	11	6	0
9510	10	10	5	0
9521	4	0	29	0
9524	10	10	5	0
9541	9	11	6	0
9542	9	11	6	0
9547	8	12	7	0
9552	8	13	8	0
9554	8	13	8	0
9558	9	11	6	0
9574	10	10	5	0
9582	3	6	3	0
9807	6	14	9	0
9810	8	17	11	0
9812	4	19	13	0
9817	6	16	10	0
9822	5	17	11	0
9827	6	14	9	0
9828	8	13	8	0
9832	8	12	7	0
9837	8	13	8	0
9842	8	13	8	0
9847	4	19	13	0
9851	10	10	5	0
9854	8	12	7	0
9857	9	12	7	0
9863	8	14	9	0
9867	5	17	11	0
9872	4	21	15	0
9873	5	17	11	0
9877	5	17	11	0
9882	6	14	9	0
9887	6	14	9	0
9892	9	11	6	0
9897	5	17	11	0
9902	9	11	6	0
9907	8	13	8	0
9912	8	12	7	0
9930	5	18	12	0
9932	5	18	12	0
9938	5	18	12	0
9942	5	18	12	0
10153	6	16	10	0
10161	6	16	30	2
10170	8	14	9	0
10178	8	14	30	2
10184	24	4	2	0
10191	9	12	7	0
10192	8	13	8	0
10203	4	0	29	0
10207	8	13	8	0
10211	8	12	7	0
10216	9	11	6	0
10221	8	12	7	0
10226	9	11	6	0
3	9	11	6	0
6	9	11	6	0
11	9	11	6	0
16	8	12	7	0
21	8	12	7	0
26	9	12	7	0
31	9	11	6	0
226	6	14	9	0
234	20	14	9	0
236	8	12	7	0
241	8	12	7	0
246	9	11	6	0
248	8	12	7	0
252	8	12	7	0
256	5	18	12	0
261	5	18	12	0
266	6	14	9	0
271	8	13	8	0
282	4	0	29	0
286	9	12	7	0
291	4	19	13	0
296	8	12	7	0
299	4	19	30	2
304	4	8	4	0
306	9	11	6	0
311	6	14	9	0
320	9	11	6	0
321	9	11	6	0
